id,dt(s),t(yr),rFeC_pb,mu0,m_l,m_q,kappa,kfe_p,kldoc_p,pge,phi,rCLig,lt_lifet,ligphi,lt_deepf,PB(1),PB(2),PB(3),LDOC(1),LDOC(2),LDOC(3),Fe(1),Fe(2),Fe(3),PO4(1),PO4(2),PO4(3),NO3(1),NO3(2),NO3(3),Lig(1),Lig(2),Lig(3),DIC(1),DIC(2),DIC(3),ALK(1),ALK(2),ALK(3),OCPCO2(1),OCPCO2(2),OCPCO2(3),ATPCO2,Limit
63455,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-18,1,1.0245E-06,0.010245,0.2,0.01,40,0,0.0002,1,4.56897119888904,46.1147102792588,7.92684075474348,2.89399063226469,12.6201003530672,0.739775224413467,0.003175970432575,0.708533498914372,0.672928633808013,1.81282556802755,0.312689893444724,2.50997682169183,24.0370718335381,0.034901040212915,35.1914918921666,43.0425996756435,20.050290196519,0.673617059060892,2264.15326873398,2106.02661641133,2386.22044762574,2396.20173097245,2390.35300611044,2399.39662067144,281.840366581391,271.643338006142,873.007476253825,0,324
63456,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-18,1,1.0245E-06,0.010245,0.3,0.005,20,0,0.0001,1,4.15310422350452,37.9613922550814,6.65851655848557,2.70209133930817,5.24549614669835,0.614969552234125,0.006345201448376,1.27389049510352,1.31133298358999,1.18163618049247,0.311807171372252,2.51325444660742,13.9380416329792,0.020777487055665,35.2439338908184,42.5987829578702,13.7467581419945,1.31323173110703,2259.12759347288,2110.41780362951,2388.1943045587,2392.88109864507,2388.87216872463,2399.38849685441,275.786123992912,279.933242812819,890.569548897622,0,324
63457,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-18,1,1.0245E-06,0.010245,0.3,0.005,20,0,5E-05,1,4.38480099791506,43.4024552839226,7.47450942990035,1.75546107403987,6.85191206992384,0.694889066324187,0.003122290944381,0.642677897018263,0.661784992473599,1.83504595147669,0.312794085295385,2.51077880235782,24.3925979687248,0.036568109823923,35.2043235828228,11.1567089935038,9.12296546042271,0.662459387701185,2264.12416354071,2104.92319167344,2386.14796197486,2396.08954109363,2389.19946901899,2399.39174015348,282.052176139841,271.385999514392,872.420695957971,0,324
63458,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-18,1,1.0245E-06,0.010245,0.3,0.005,20,0,0.0002,1,18.227551282917,26.9645774920016,5.45183762276689,3.7982042141135,3.14860759237664,0.499622851672232,0.241078827454136,2.3381596986919,2.3984665230766,0.321421976538157,0.31053426270704,2.51661223733852,0.174614369710894,0.000410948413032,35.2976585425167,70.2526700253954,9.7232651313725,2.40246796612309,2252.39593116638,2117.34254748744,2390.49818394088,2388.62949700457,2388.44438291631,2399.38269172259,267.516748959347,291.209259991776,911.453093095251,0,224
63459,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-18,1,1.0245E-06,0.010245,0.3,0.005,30,0,0.0001,1,4.33321104361642,43.7620155178541,7.30908673849404,1.89338060333003,6.51152860683817,0.678308197212211,0.00359489596542,0.736757599431097,0.759543461006346,1.73673726746036,0.312645761424683,2.51120153994694,22.8196590244632,0.034194927892377,35.2110873842484,24.7049801360001,11.3966020992741,0.760397225786392,2263.37477553215,2105.74804326982,2386.42552192845,2395.60591145035,2389.13067953632,2399.39059530445,281.105952090771,272.67133741579,874.868210741401,0,324
63460,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-18,1,1.0245E-06,0.010245,0.3,0.005,30,0,5E-05,1,4.58862715800039,34.7002083875259,8.06338122141399,1.50816838591421,8.15056542684424,0.755598630969644,0.002192599268039,0.460976006161662,0.466856145270827,2.03079193054171,0.31308187397606,2.50963018557818,27.5245336337636,0.041172728713192,35.1859457143472,7.88548633869123,11.6567291719781,0.467173001878456,2265.61004514099,2103.36114960558,2385.40696272891,2397.05799480598,2389.45928050164,2399.3980050576,283.922880763269,268.822865143705,865.891997119608,0,324
63461,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-18,1,1.0245E-06,0.010245,0.3,0.005,30,0,0.0002,1,4.04676862746823,34.5536398584856,6.29948819855249,3.120967242539,4.58774207025416,0.580397139919743,0.007833871258964,1.55305452103261,1.5983577713011,0.893024637456137,0.3113765465044,2.51433743249471,9.3202569443948,0.01388748916703,35.261261665012,101.577253012531,16.9679582958218,1.60083015616803,2256.89305091297,2112.78660158173,2389.00044493012,2391.46407650302,2388.73782428342,2399.38715549133,273.011754186754,283.713072461791,897.81849230645,0,324
63462,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-18,1,1.0245E-06,0.010245,0.3,0.005,40,0,0.0001,1,4.48902239168089,39.3335924803016,7.77189876959532,1.63311294900538,7.4955965023196,0.725443482666701,0.002658660155856,0.552464541525824,0.565013369103065,1.93221645305854,0.31293676306022,2.5102046846501,25.9473259940349,0.0388509540617,35.1951376994999,18.3920251652093,12.9377782110287,0.565508409092302,2264.86132338215,2104.15003646051,2385.74744920099,2396.5703750319,2389.32828590347,2399.39491400447,282.977938691572,270.113261418724,868.888241354641,0,324
63463,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-18,1,1.0245E-06,0.010245,0.3,0.005,40,0,5E-05,1,4.68413010283728,29.2954600750744,8.35030269360801,1.37851756440524,8.81861869612976,0.785518376060861,0.001717494728383,0.366799272675304,0.365875062986021,2.13222047434652,0.313231693467508,2.50905008259743,29.1473903346434,0.043569840579015,35.1766640666577,6.19326420772692,13.3611988487905,0.366007234998901,2266.37687743904,2102.54297811266,2385.014662766,2397.55950860585,2389.59279096696,2399.40101914764,284.891579233455,267.495429776113,862.457448465419,0,324
63464,43200,1000,2E-05,1.15740740740741E-07,1.15740740740741E-10,1E-18,1,1.0245E-06,0.010245,0.3,0.005,40,0,0.0002,1,4.23199844808695,40.5135861803383,6.93733931945482,2.36181583348417,5.77795221965474,0.642008707893339,0.005169052859024,1.04774055396574,1.07886757981493,1.41543961842437,0.312158710690389,2.5123863870357,17.6788966398889,0.026402116145123,35.2300449376702,68.4874030329322,15.6471728556641,1.08030981430618,2260.922497624,2108.46922866525,2387.43539700967,2394.02883425593,2388.98090313731,2399.38943613511,278.025307328419,276.873082700022,883.800032793044,0,324
